cell,formula,result
C3,=EngS_BioCalc!E33,=EngS_BioCalc!E33
C4,=SUM(C6:C9),=SUM(C6:C9)
C6,=EngS_BioCalc!$C$23,=EngS_BioCalc!$C$23
D6,=C6/$C$4,=C6/$C$4
C7,=EngS_BioCalc!$C$24,=EngS_BioCalc!$C$24
D7,=C7/$C$4,=C7/$C$4
C8,=EngS_BioCalc!$C$25,=EngS_BioCalc!$C$25
D8,=C8/$C$4,=C8/$C$4
C9,=EngS_BioCalc!$C$26,=EngS_BioCalc!$C$26
D9,=C9/$C$4,=C9/$C$4
C13,='Dados auxiliares'!D133,='Dados auxiliares'!D133
D13,='Dados auxiliares'!D137,='Dados auxiliares'!D137
E13,='Dados auxiliares'!D136,='Dados auxiliares'!D136
C14,=C13-$C$4,=C13-$C$4
D14,=D13-$C$4,=D13-$C$4
E14,=E13-$C$4,=E13-$C$4
C15,=(C13-$C$4)/C13,=(C13-$C$4)/C13
D15,=(D13-$C$4)/D13,=(D13-$C$4)/D13
E15,=(E13-$C$4)/E13,=(E13-$C$4)/E13
C16,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(C14,"">0"",C14))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(C14,"">0"",C14))),0),"""")"
D16,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(D14,"">0"",D14))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(D14,"">0"",D14))),0),"""")"
E16,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(12000*(SUMIF(E14,"">0"",E14))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(12000*(SUMIF(E14,"">0"",E14))),0),"""")"
C20,=SUM(C22:C24),=SUM(C22:C24)
C22,=EngS_BioCalc!$C$24,=EngS_BioCalc!$C$24
D22,=C22/$C$20,=C22/$C$20
C23,=EngS_BioCalc!$C$25,=EngS_BioCalc!$C$25
D23,=C23/$C$20,=C23/$C$20
C24,=EngS_BioCalc!$C$26,=EngS_BioCalc!$C$26
D24,=C24/$C$20,=C24/$C$20
C28,='Dados auxiliares'!$D$133,='Dados auxiliares'!$D$133
D28,='Dados auxiliares'!$D$137,='Dados auxiliares'!$D$137
E28,='Dados auxiliares'!$D$136,='Dados auxiliares'!$D$136
C29,=C28-$C$20,=C28-$C$20
D29,=D28-$C$20,=D28-$C$20
E29,=E28-$C$20,=E28-$C$20
C30,=(C28-$C$20)/C28,=(C28-$C$20)/C28
D30,=(D28-$C$20)/D28,=(D28-$C$20)/D28
E30,=(E28-$C$20)/E28,=(E28-$C$20)/E28
C31,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(C29,"">0"",C29))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(C29,"">0"",C29))),0),"""")"
D31,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(D29,"">0"",D29))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(D29,"">0"",D29))),0),"""")"
E31,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(E29,"">0"",E29))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(E29,"">0"",E29))),0),"""")"
C36,=EngS_BioCalc!C21+CFF!D2,=EngS_BioCalc!C21+CFF!D2
C40,='Dados auxiliares'!$D$133,='Dados auxiliares'!$D$133
D40,='Dados auxiliares'!$D$137,='Dados auxiliares'!$D$137
E40,='Dados auxiliares'!$D$136,='Dados auxiliares'!$D$136
C41,=C40-$C$36,=C40-$C$36
D41,=D40-$C$36,=D40-$C$36
E41,=E40-$C$36,=E40-$C$36
C42,=(C40-$C$36)/C40,=(C40-$C$36)/C40
D42,=(D40-$C$36)/D40,=(D40-$C$36)/D40
E42,=(E40-$C$36)/E40,=(E40-$C$36)/E40
C43,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(C41,"">0"",C41))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(C41,"">0"",C41))),0),"""")"
D43,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(D41,"">0"",D41))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(D41,"">0"",D41))),0),"""")"
E43,"=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(E41,"">0"",E41))),0),"""")","=IFERROR(ROUNDDOWN(VLOOKUP(EngS_BioCalc!$E$33,'Dados auxiliares'!$B$7:$D$12,3,0)*(10000*(SUMIF(E41,"">0"",E41))),0),"""")"
